序号,文章标题,URL
1,10张图4000家公司，看懂AI十年沉浮史,https://mp.weixin.qq.com/s/V-WSYrT5OJyKHixE8b_tvQ
2,互联网只剩“奶头乐”？他们用诗歌悄然反击,https://mp.weixin.qq.com/s/0tJaE0j24ZwAMvppGDFmuw
3,近2500个短剧小程序遭处理，危机辐射横店半数剧组？,https://mp.weixin.qq.com/s/cYgwb7ic1TvBRqA7r5QDJw
4,播出前后落差大？我们和《长月烬明》服化团队聊了聊造型争议,https://mp.weixin.qq.com/s/_HtdvhI6YVK8uLvPMXFFLw
5,马克龙走了，中法文化之春来了,https://mp.weixin.qq.com/s/otJ0Wv3NO74Nu5WS0Jq5Yw
6,2023这届春季班“灌篮高手”，真担得起“爷青回”么？,https://mp.weixin.qq.com/s/SgpQpYv-NlTU_jCaPUIMQA
7,高调掘金VS闷声发大财，AIGC公关战哪家赢了？,https://mp.weixin.qq.com/s/NVaKGPnKsQMx7FKznIJVkw
8,从《忠犬八公》到《龙马精神》，为什么动物的演技这么好？,https://mp.weixin.qq.com/s/_7GZBpvv_TL9V1BZ9MLnzw
9,3月下电影备案：《飞驰人生2》“子承父志”，东北文艺复兴来了？,https://mp.weixin.qq.com/s/b_9d3cpl59wWSdT19YKS9g
10,《灌篮高手》周边卖300万，仍敌不过县城影院背后的上亿盗版,https://mp.weixin.qq.com/s/4-EddNvd_GgnlZdchvWhvw
11,分账影视到了该集体“自救”的时候,https://mp.weixin.qq.com/s/euDT4vABror1eCSQCb_J7w
12,爆槽娱子酱：蜜雪冰城也擦边？黄渤又演青岛贵妇了!,https://mp.weixin.qq.com/s/Iv4Lij7n3rulHM8BVUP8cg
13,宝马mini区别对待？小米X张颂文，感人！,https://mp.weixin.qq.com/s/Dsq4kAJSrpeakz2I0KlzfA
14,元气森林合作蔡国庆，既上头又尴尬,https://mp.weixin.qq.com/s/dKyZ8cQ0s2x7Hdlvj57KRA
15,年赚35万，王源也拉不动品渥食品,https://mp.weixin.qq.com/s/m8akmyxf8eLGSZY-zN761g
16,行业领先者大麦，如何书写新故事？|专访大麦总裁何弭,https://mp.weixin.qq.com/s/aX1dmQ0ORm1v-RticLNbFg
17,崩坏宇宙4.0，米哈游这次没有赢,https://mp.weixin.qq.com/s/Gs-DOnKPsKB_-OYEGlwCXA
18,五一假期，淄博的“烤”场,https://mp.weixin.qq.com/s/dXioxMR0SfImpTIX0hCCjA
19,中国电影工业该向何处去？电影大咖们有话要说,https://mp.weixin.qq.com/s/f0W-8l-h2SEsplq8ua3z_A
20,在视频号卖货的品牌，现在赚到钱了吗？,https://mp.weixin.qq.com/s/Xz2MoCwwk9heuTba8_2bGg
21,CEIS 2024 中国娱乐产业年会暨金河豚荣誉推选正式启动,https://mp.weixin.qq.com/s/tFU2rIA8zjoT96WPE-ypjQ
22,国货翻身“红与黑”：宠物、鲨鱼裤、冲锋衣都赢了，老国货为何失手？,https://mp.weixin.qq.com/s/mJJnrSOpIS1xy8bh-SLIUg
23,AI赋能电商调查：20亿条数据，500亿市场，3个人的转行,https://mp.weixin.qq.com/s/10wwokPhUgXrmCqLlbPC4A
24,网红奶茶鼻祖一点点，怎么就成了时代的眼泪？,https://mp.weixin.qq.com/s/5_jw3RMhPaq8cgHfPltFFw
25,《完蛋》惹火的不只宅游市场，更惹火了仙剑粉丝,https://mp.weixin.qq.com/s/8bIV8jL51XhdYi0RwrPckg
26,10月上电影备案：游戏《纸嫁衣3》影视化，万合天宜新作《当幸福来踢门》通过备案,https://mp.weixin.qq.com/s/A8W6xfVRAazHYz1mQ_aebg
27,短剧审核再加码，一天新增125部禁投短剧,https://mp.weixin.qq.com/s/UaByBs3vngsjdYT0EFAOdA
28,国产大模型，终于敢跟用户要钱了,https://mp.weixin.qq.com/s/3yEP6F0GSmrv5oiH5_8IpQ
29,多位视频号达人双11“爆单”：千元冬装、10元调味品，GMV5000W+,https://mp.weixin.qq.com/s/TEi2qLSLYDptH4UB8ayTeg
30,双11卖3.5个亿，天猫高层点名推荐，SINSIN带火鲨鱼裤？,https://mp.weixin.qq.com/s/NWYeyfvqv1RDxNGlBF_jJQ
31,电影海报陷入怪圈：字越大，票房越差？,https://mp.weixin.qq.com/s/PfGxkmLT2NklpNN6sOmAEg
32,中国内容团队出海的秘密，藏在这支PV里,https://mp.weixin.qq.com/s/HWn3tZ7jsFDZCWNv4xkcqw
33,谁是迪士尼的“超级英雄”？,https://mp.weixin.qq.com/s/CkIvPoHS7AUSjXvJTaRkQQ
34,CEIS 2024 中国娱乐产业年会暨金河豚荣誉推选正式启动,https://mp.weixin.qq.com/s/jcs9HfsL4hF-KJGcmOSEcg
35,业绩真跟AI挂钩吗？我们翻完了18家“AIGC概念股”三季报,https://mp.weixin.qq.com/s/GGCffUEesWcb-HvCqGCSgw
36,CEIS 2024 中国娱乐产业年会暨金河豚荣誉推选正式启动,https://mp.weixin.qq.com/s/tTswQxxqTNqwlt-avz9L4A
37,ROI近15，新客率超70%，B站电商的加速增长与长期考验,https://mp.weixin.qq.com/s/7uXqE4-X7blkqFMGU2Nbew
38,明星纷纷停播，主播“人人喊打”，直播带货变天了？,https://mp.weixin.qq.com/s/b5J6TbgNmWoAA1dPMS8PbA
39,吴京退股、亏损千万、十家九欠薪，特效行业走在悬崖边缘,https://mp.weixin.qq.com/s/Y0kPymiRhQBOty_EmExtnQ
