AIGC: {"Label":"1","ContentProducer":"001191110108MA01KP2T5U00000","ProduceID":"f0f0e3875c059d20aae55aee272a7374","ReservedCode1":"","ContentPropagator":"001191110108MA01KP2T5U00000","PropagateID":"f0f0e3875c059d20aae55aee272a7374","ReservedCode2":""}

序号,文章标题,URL
1,"人在职场，渴望双休",https://mp.weixin.qq.com/s/W7b9j4nD1A0miBxNt_JjyQ
2,"10张图4000家公司，看懂AI十年沉浮史",https://mp.weixin.qq.com/s/V-WSYrT5OJyKHixE8b_tvQ
3,"互联网只剩“奶头乐”？他们用诗歌悄然反击",https://mp.weixin.qq.com/s/0tJaE0j24ZwAMvppGDFmuw
4,"近2500个短剧小程序遭处理，危机辐射横店半数剧组？",https://mp.weixin.qq.com/s/cYgwb7ic1TvBRqA7r5QDJw
5,"播出前后落差大？我们和《长月烬明》服化团队聊了聊造型争议",https://mp.weixin.qq.com/s/_HtdvhI6YVK8uLvPMXFFLw
6,"马克龙走了，中法文化之春来了",https://mp.weixin.qq.com/s/otJ0Wv3NO74Nu5WS0Jq5Yw
7,"2023这届春季班“灌篮高手”，真担得起“爷青回”么？",https://mp.weixin.qq.com/s/SgpQpYv-NlTU_jCaPUIMQA
8,"高调掘金VS闷声发大财，AIGC公关战哪家赢了？",https://mp.weixin.qq.com/s/NVaKGPnKsQMx7FKznIJVkw
9,"从《忠犬八公》到《龙马精神》，为什么动物的演技这么好？",https://mp.weixin.qq.com/s/_7GZBpvv_TL9V1BZ9MLnzw
10,"3月下电影备案：《飞驰人生2》“子承父志”，东北文艺复兴来了？",https://mp.weixin.qq.com/s/b_9d3cpl59wWSdT19YKS9g
11,"《灌篮高手》周边卖300万，仍敌不过县城影院背后的上亿盗版",https://mp.weixin.qq.com/s/4-EddNvd_GgnlZdchvWhvw
12,"分账影视到了该集体“自救”的时候",https://mp.weixin.qq.com/s/euDT4vABror1eCSQCb_J7w
13,"爆槽娱子酱：蜜雪冰城也擦边？黄渤又演青岛贵妇了!",https://mp.weixin.qq.com/s/Iv4Lij7n3rulHM8BVUP8cg
14,"宝马mini区别对待？小米X张颂文，感人！",https://mp.weixin.qq.com/s/Dsq4kAJSrpeakz2I0KlzfA
15,"元气森林合作蔡国庆，既上头又尴尬",https://mp.weixin.qq.com/s/dKyZ8cQ0s2x7Hdlvj57KRA
16,"年赚35万，王源也拉不动品渥食品",https://mp.weixin.qq.com/s/m8akmyxf8eLGSZY-zN761g
17,"行业领先者大麦，如何书写新故事？|专访大麦总裁何弭",https://mp.weixin.qq.com/s/aX1dmQ0ORm1v-RticLNbFg
18,"崩坏宇宙4.0，米哈游这次没有赢",https://mp.weixin.qq.com/s/Gs-DOnKPsKB_-OYEGlwCXA
19,"五一假期，淄博的“烤”场",https://mp.weixin.qq.com/s/dXioxMR0SfImpTIX0hCCjA
20,"中国电影工业该向何处去？电影大咖们有话要说",https://mp.weixin.qq.com/s/f0W-8l-h2SEsplq8ua3z_A
21,"渠道升级、AI赋能，营销的下半场怎么玩? | 北影节影视营销论坛实录",https://mp.weixin.qq.com/s/bR1l1_svVshfB3S_FyW_Mw
22,"讲好故事，拥抱技术，华谊的电影工业化在路上|专访王中磊",https://mp.weixin.qq.com/s/H4wNjdpLNkN5uGEmboRjwA
23,"暴雪“甩掉”网易100天：官司缠身、丑闻不断、接盘侠难寻",https://mp.weixin.qq.com/s/zkx6HR7pwlClXuJFz0r4qA
24,"“跟风”开淄博烧烤，赚了还是赔了？",https://mp.weixin.qq.com/s/w5vxiJJMxOSjD1iJrU-r7Q
25,"直播间“贩卖”小哥哥：有人看没人买",https://mp.weixin.qq.com/s/ls6dW1IfaSm_GzVMs4lMZA
26,"对话蕉下CMO果小：新消费“做品牌”，到底值不值？",https://mp.weixin.qq.com/s/cZOqnN7X_S0C9pjvtcS5yA
27,"中国电影仍需供给侧改革？15亿五一档复盘",https://mp.weixin.qq.com/s/A0U5R4A0LjEqc-AaIDhHlw
28,"不愿“困于人海”的年轻人，盯上徒步",https://mp.weixin.qq.com/s/GXlHSZIX3sWYXOD0ioY9vQ
29,"2022年17家剧集公司进账388亿，除了AI他们还要干啥？",https://mp.weixin.qq.com/s/peA7KCHnFQd9vNeCO-tK4Q
30,"淘宝重奖内容直播，北漂歌手做主播月入百万",https://mp.weixin.qq.com/s/_WE53TRmrOw1lRjk_-1Vyw
31,"灯与河川，四月人间|小娱月报",https://mp.weixin.qq.com/s/LaK6i2MJdnh_oGKD8cwXpg
32,"五一求佛也要问道，青城山不输雍和宫",https://mp.weixin.qq.com/s/yNJm6UDUw0xQDyQ15NVywg
33,"两场超六千万，全网潮流直播的头部出现了！",https://mp.weixin.qq.com/s/smKVOlSBe8AfS9ka6d6zDQ
34,"五一劳动节借势文案，来了",https://mp.weixin.qq.com/s/1OacEWRO0p-nRmWW8Xgjhw
35,"刮刮乐在搞一种很新的潮流“盲盒”",https://mp.weixin.qq.com/s/1Rr30EzY2lt4edcssM8YiQ
36,"海澜之家代言又翻车？史航推荐语被删除！",https://mp.weixin.qq.com/s/WOFPjAOtUBUTCNd2rGy8bg
37,"如何“逆流”创作一部生活悬疑？ | 对话",https://mp.weixin.qq.com/s/vCU1TiOcB2O7FrR4YeAjew
38,"蔡徐坤仅赔300万？一文解读他为何能成功解约",https://mp.weixin.qq.com/s/tWQOmaKBszAyTwdLQwKNlg
39,"全网“挖呀挖呀挖”，美女幼教凭什么火了？",https://mp.weixin.qq.com/s/4oeldKPm-Q78-JiHfoGz6Q
40,"去年，11家电影公司进账200亿，亏损却有54亿",https://mp.weixin.qq.com/s/-mOQzWoOHOSE9exYMTNk9Q
41,"西安大唐不夜城火了，却赔了？",https://mp.weixin.qq.com/s/R6yW0y7xCB3tA15de_g_XQ
42,"关于内容、产能、商业化背后的创新逻辑，我们和优酷聊了聊",https://mp.weixin.qq.com/s/_HBowDtBXo7wJ6h25eDN8w
43,"淄博化、机票盲盒、交换住宿爆火背后，一场年轻人的自我满足型狂欢",https://mp.weixin.qq.com/s/0p8EkOmJ1AACR0Lmr32X_w
44,"奈雪瑞幸喜茶，茶饮联名哪家强？｜评分榜",https://mp.weixin.qq.com/s/pvk9UGVQCsL4X_DYt1I-VQ
45,"微短剧商业化步入爆发前夜",https://mp.weixin.qq.com/s/dhIfr7tmJspzUWXlyB0AjA
46,"杨幂解约早有预兆？债主“实地”只告嘉行不控杨幂已揭露一切",https://mp.weixin.qq.com/s/jax56tx1zre-N16JpZ5cDA
47,"一帧秒创：将用户一小时的工作变成一分钟",https://mp.weixin.qq.com/s/kRwCiWsunuCn-5NMf6XCJg
48,"“我们预计今年有1000万用户，但还是很焦虑”丨国产AIGC进入“修罗场”",https://mp.weixin.qq.com/s/IpRiHdO-DvQYryOIOQm2Mg
49,"七年老剧收视登高，各平台流行对积压剧大开盲盒",https://mp.weixin.qq.com/s/yseXLiEQWxRSFmnBkMVlvA
50,"领英中国：一场无人意外的退出",https://mp.weixin.qq.com/s/Shgef7C6SYNF7mtLPO9atg
51,"秘塔科技:“中国的Grammarly”如何应对GPT时代的“降维打击”",https://mp.weixin.qq.com/s/vslgAw3XIJbCBAxszN-1IQ
52,"海外AI网红一周创收50万，国内能复制吗？",https://mp.weixin.qq.com/s/6oXj8mOL3V9IxB-ckf9wpQ
53,"抖音打响AIGC内容监管的第一枪，“AI孙燕姿”们还能火多久？",https://mp.weixin.qq.com/s/PoKZGIhAgwdmD3gcGubAhQ
54,"辛巴溯源“外卷”，搅浑榴莲市场",https://mp.weixin.qq.com/s/QDh-PELn7dHG7VQlzS6Z0w
55,"说错两个字，千万粉丝网红被罚46万",https://mp.weixin.qq.com/s/t38zfKYl8Mu6ldxOsTCdtQ
56,"用一句话生成一部剧本，一览科技是怎么做到的？",https://mp.weixin.qq.com/s/54bZ_klC2WtCBl1PHGwi1Q
57,"火爆全网的15个AI应用，我们替你整理好了",https://mp.weixin.qq.com/s/BGYHHWInHIz_OaFguMNeKw
58,"「老头乐」一哥跌倒，经销商6亿元被套牢",https://mp.weixin.qq.com/s/_7HhPMSmpaRRkaoBxFtLVw
59,"看完4个国产大模型的用户协议，我整个人都不好了",https://mp.weixin.qq.com/s/CKg9aGTMfkQjIT4oBY7UNQ
60,"文娱“春招”观察①：217个品牌“豪赌”剧集，究竟为的什么？",https://mp.weixin.qq.com/s/4V2st2AMMzYChNpr1hx88g
61,"爱奇艺再提速，五组关键词看清长视频下一程",https://mp.weixin.qq.com/s/fSq1177X2RAZfry-wf50LA
62,"巴菲特给AI泼了盆冷水",https://mp.weixin.qq.com/s/8MJ17-3xz0FmtPZvFYzhjA
63,"18款游戏新品亮相、国内外收入增长，腾讯游戏的“扩容”在路上",https://mp.weixin.qq.com/s/rfOVenyborzJi2uIXdHJew
64,"“孟羽童”走了，董明珠“输了”？",https://mp.weixin.qq.com/s/hovTrnkd_IJBNtiOB_ypTw
65,"小红书做电商，先铺了55万件清仓商品",https://mp.weixin.qq.com/s/c0sfMu1ka4azM0g2ej6NjA
66,"文娱“春招”观察②：客单价“缩水”40%，综艺招商巅峰难返",https://mp.weixin.qq.com/s/nE7oM5kYV6u0sVOj5ZR7aw
67,"《王国之泪》爆卖1000万，但为何没拉动《原神》玩家入坑",https://mp.weixin.qq.com/s/EoyeJwCgaYK-HNC43quJRg
68,"我们为什么要用和怎么用AI从头到尾做一个号丨视智未来（AIVision）发刊词",https://mp.weixin.qq.com/s/whAfDBLQU62dNxQXUQpo_Q
69,"FENDI携手新茶饮，为何选中喜茶？|联名评分榜",https://mp.weixin.qq.com/s/5qZSfCp7liA_RhgsQKPNQQ
70,"脱口秀“钱途”不明，142家俱乐部该何去何从？",https://mp.weixin.qq.com/s/NDobzzgbDLgAIx0fCpKi_g
71,"20元成本卖8万8，谁在追捧抖音里的“奸商”博主？",https://mp.weixin.qq.com/s/XIyTDyx0knG0khoOx7G4FA
72,"官方背刺粉丝，黄牛无处不在，演唱会团票何去何从",https://mp.weixin.qq.com/s/B1wFpMGTR8PNfkRbbtAtTw
73,"娱乐资本论夏季招聘全面开启",https://mp.weixin.qq.com/s/o6tjB9rx7s5a7x5GzVi6Yg
74,"借着“抖音红利”，海洁娅爆红了，问题是，“白牌魔咒”也来了",https://mp.weixin.qq.com/s/PMaRJLxG671HsKVf8Ejv1A
75,"娱乐资本论夏季招聘全面开启",https://mp.weixin.qq.com/s/GufBkYnzbIMLl1DAsle_Kg
76,"“五个女博士”收割年轻人",https://mp.weixin.qq.com/s/TLaCL-PYYUe2-1ssXKELgg
77,"重内容、强互动，斗鱼走向长期主义",https://mp.weixin.qq.com/s/Jxhf8B3NhhSrp36BuMGRWg
78,"互联网「35岁陷阱」：欲望、人性与灰色空间",https://mp.weixin.qq.com/s/wALkcvOycOLd0QrF4lAN4g
79,"54档节目背后，户外真人秀又要热起来了？",https://mp.weixin.qq.com/s/BC8hVzeytB5SOKiCp5j1zQ
80,"罚款、封号，又一千万粉丝网红凉了",https://mp.weixin.qq.com/s/9RKlxEDADfpDi87giKVbOw
81,"一名戏曲演员转正有多难？",https://mp.weixin.qq.com/s/hKiZh88JWmA6J0KfDghplw
82,"正好遇见你｜非遗传承与影视创作中的“匠人之心”",https://mp.weixin.qq.com/s/-FDJCBQ6-By7aVpJ0fwxZA
83,"首届上海文娱科创沙龙 | 文娱+AI=未来？",https://mp.weixin.qq.com/s/k2QGNI2cg7qUYKj5Or248A
84,"我们让五款AI回应“孙燕姿回应‘AI孙燕姿’”丨5款大模型横评",https://mp.weixin.qq.com/s/h22Sn1u4OHzUYS_D_ifuRA
85,"18个问题，90个回答，国产大模型实用性横评",https://mp.weixin.qq.com/s/1QEikKyqz0Thior3lWR5fg
86,"这档主播职场综艺，在直播间很“上头”",https://mp.weixin.qq.com/s/JFqRgLo_rKZdx05FoF5-kw
87,"平台直播大战：小红书派出香港传奇名媛",https://mp.weixin.qq.com/s/RoXKDAe6hVM9P02OEbuzuA
88,"影视业仍在观望时，后期和动画公司已跑步进入AIGC时代？",https://mp.weixin.qq.com/s/u5A6YWoF7G0ImP_1ZwATvA
89,"在播客大时代下，影视类播客如何造浪",https://mp.weixin.qq.com/s/vNWt6YOrJzfvgvMblqxCBg
90,"音乐圈三国战：AI疑似侵权，平台隔岸观火，版权方起义",https://mp.weixin.qq.com/s/D8-EKd8wcXHLCVgncCIlsA
91,"24小时无休上岗，数字人要抢主播饭碗？",https://mp.weixin.qq.com/s/bPymm92e152AebV7lIF3Mg
92,"演唱会团票正走向崩溃？五月天粉丝团票有多难",https://mp.weixin.qq.com/s/iNstkNiARX5rnbg5FJd9FA
93,"AIGC，内容行业的下一片蓝海",https://mp.weixin.qq.com/s/DeH6ebvxHM20AwaTR6h2jg
94,"首届上海文娱科创沙龙 | 文娱+AI=未来？",https://mp.weixin.qq.com/s/KLimWCHdJe23V_JirXu27w
95,"​4月网剧备案：大女主、双男主亮眼，爆款IP《惜花芷》《时光代理人》备案",https://mp.weixin.qq.com/s/ZjNo6UXZhNkuHMs8pJE0dg
96,"判罚5000万的网易VS阿里侵权风波，对行业有何影响？",https://mp.weixin.qq.com/s/Lcbdgu0Pzr7mWuz3jOOlBQ
97,"李佳琦背后的男人，躺赢160亿！",https://mp.weixin.qq.com/s/crkEUyyM_pmwzIUmGXWN5w
98,"对话小度：闺蜜机爆卖上亿背后",https://mp.weixin.qq.com/s/K6k3CLvOClGm1MlCZjmj6Q
99,"被恶意评分的《家有儿女》，影视评分还能相信吗？",https://mp.weixin.qq.com/s/6w16ppaWMDAX39RGoWaofg
100,"揭秘剧综“撤档风波”背后",https://mp.weixin.qq.com/s/9ZcDLMd1Fft3sbcrdjFw8Q
101,"上影、昆仑万维、商汤、华强…上海文娱科创沙龙首批嘉宾确认出席",https://mp.weixin.qq.com/s/4glgWHZGd7UBN_jh5W76vw
102,"好莱坞片酬最高的演员，投资了世界上最成功的 AI 公司",https://mp.weixin.qq.com/s/l8qoVKCx-4nqm6FB5XbZSw
103,"集体泡澡、匿名投票、一键否决，《桃花坞》在内娱已经没有替代品",https://mp.weixin.qq.com/s/0Ilgk7Cf94rgl1oiLttqrA
104,"都说儿童节快乐，看到儿童我就不快乐丨内含福利",https://mp.weixin.qq.com/s/fJxRp5ftTnTCRZ-McXKMug
105,"年轻人捧红“电子垃圾”CCD相机：价格翻10倍，全国断货",https://mp.weixin.qq.com/s/YT3fD9GQ5DW5OM5zVfC3kA
106,"​首届上海文娱科创沙龙 | 文娱+AI=未来？",https://mp.weixin.qq.com/s/5h3uEzAzpHJAnJvYQu3Mkg
107,"五月天带火我生意：出租荧光棒一次50，编头发两天赚1000",https://mp.weixin.qq.com/s/Rkt9FD7TRawSOYmmqstytg
108,"暴涨又暴跌，AIGC能否拯救A股传媒股？",https://mp.weixin.qq.com/s/I-D_RRLOH7RfBwVSg2g13A
109,"炒作胡彦斌，diss庆余年，《逆水寒》的野路子营销为啥总奏效？",https://mp.weixin.qq.com/s/GvVmsxDQBtFztfb4AhD0tQ
110,"效果广告，B站开始玩出些门道",https://mp.weixin.qq.com/s/fHnymG-RivOHklL7P8rNug
111,"上影、昆仑万维、商汤、华强…首批嘉宾确认出席上海文娱科创沙龙",https://mp.weixin.qq.com/s/PbRjsIUO1D5nEPTfCK_TMQ
112,"上影、昆仑万维、商汤、华强…首批嘉宾确认出席上海文娱科创沙龙",https://mp.weixin.qq.com/s/kDYvCfryd8PAci8JrsFYLA
113,"3部破3000万、7成能及格，2023甜宠剧升级",https://mp.weixin.qq.com/s/xwp_pfiShnmSLkXVzVuatw
114,"“五月的天，刚诞生的夏天”|小娱月报",https://mp.weixin.qq.com/s/qngt0IpDjQabnedmdgQGFA
115,"大牌抢滩快手电商",https://mp.weixin.qq.com/s/KFTWfwZB2m1tibC6kTdX3Q
116,"4月电影备案：合拍片多、衍生电影扎堆，《拆弹专家3》《一闪一闪亮星星》备案",https://mp.weixin.qq.com/s/MxFchAdCb4QneYRpotSE4Q
117,"大厂高P跳槽中小企业，为何不欢而散？",https://mp.weixin.qq.com/s/jjfPfeFUU8SBGasB5EVc_Q
118,"郭帆、陆川确认出席 | 首届上海文娱科创沙龙6月12日相约徐汇",https://mp.weixin.qq.com/s/QCSa2SEn7V4wvvEj_7o3_g
119,"上影、昆仑万维、商汤、华强…首批嘉宾确认出席上海文娱科创沙龙",https://mp.weixin.qq.com/s/SO0WFB-vFAeC_nsLk2Ssqw
120,"净利润超10亿，摆摊摆到三里屯，小卡经济“死而复生”",https://mp.weixin.qq.com/s/GnwtUJlTznk3stx5yeXzIQ
121,"郭帆、陆川确认出席 | 首届上海文娱科创沙龙6月12日相约徐汇",https://mp.weixin.qq.com/s/WszSIhpzX6L6x8KZbFqMzA
122,"单日GMV破2亿，“跨国夫妻”成抖音带货王！",https://mp.weixin.qq.com/s/ChSaMZ-BkqzVFvFbpygSFg
123,"揭秘国内影节：1.8万卖入围、2年团队大换血、百万奖金不兑现",https://mp.weixin.qq.com/s/dRODKptsgFKkqVlwZ1gm-w
124,"售价25000的苹果头显，没想卖给穷人",https://mp.weixin.qq.com/s/rAlQVXcDdR8ssZRkdGB8mg
125,"热搜改革，微博进击",https://mp.weixin.qq.com/s/yu1f_Mb8TcvUh1O7KDPD6A
126,"抖音吸粉500万，线下万人成团，这届导游在玩一种很新的旅行社",https://mp.weixin.qq.com/s/j5ZRnkAiequxzkVYdClhWw
127,"百万UP主人设崩塌背后：精致生活博主的转型困境",https://mp.weixin.qq.com/s/WCXzmmGlLzJ29KmodVjg1g
128,"郭帆、陆川确认出席 | 首届上海文娱科创沙龙6月12日相约徐汇",https://mp.weixin.qq.com/s/5AxSp824gT1mbOIcNYS4qQ
