序号,文章标题,URL
1,"派拉蒙合并天舞、华谊转让美拉，2024并购潮要来了吗？",https://mp.weixin.qq.com/s/CjVTeHQ7UQGqZfNXH1zQvA
2,"13个论断，50方观点，万字长文，娱资联合ChinaJoy短剧论坛实录｜干货",https://mp.weixin.qq.com/s/50EspyzmJyLNNJ3iMhO6Ug
3,"董宇辉的“分手大戏”，并没有让所有人都满意",https://mp.weixin.qq.com/s/Aa9-k8D2HZWB7CJJOf_flQ
4,"7月IP衍生品榜单：Sonny Angel霸榜六天，天闻角次元拔得头筹",https://mp.weixin.qq.com/s/iBwNpwdr4On2JpN3mE9McA
5,"用卡诺模型拆《异人之下》，原著粉到底在不满什么？",https://mp.weixin.qq.com/s/aVryJJn6pII3SfzFsBWRew
6,"7月互联网专利盘点：百度研究音乐类AIGC，腾讯优化小游戏",https://mp.weixin.qq.com/s/zDLMkeeyYgSO6tJFSftWEw
7,"黄晓明入局微短剧，传统影视演员如何跨越“长短”界限",https://mp.weixin.qq.com/s/4reWqkTi3siVCUr5A0CjOQ
8,"易小星韩寒新片备案，阿里改编日本推理 | 6月下电影备案",https://mp.weixin.qq.com/s/46R_PzMvIMYx_w40d9fBSw
9,"AI、出海、IP授权，今年的ChinaJoy还能给我们什么惊喜？",https://mp.weixin.qq.com/s/7_XsLhk-OHYzomv5XjqPJQ
10,"电糖天使“破茧”，《和平精英》娱乐营销进入Next Level",https://mp.weixin.qq.com/s/ylFzg4GYIc_EA4EMrwKkPg
11,"《死侍与金刚狼》十天3亿，老复联谢幕后首次营销开门红",https://mp.weixin.qq.com/s/SbIjfAEuyFbCpjhq7Q641A
12,"34集讲完牛马职场事，破4800万的爽剧《裁员》背后是踩中了热点",https://mp.weixin.qq.com/s/3b2Hp0f1nOc_94dkrFNrUA
13,"谷店第一波倒闭潮，是谁的锅？",https://mp.weixin.qq.com/s/YRD_zBydOSXXOhZDPQvzkw
14,"视效奇观、家国情怀，《解密》的十年一梦",https://mp.weixin.qq.com/s/Te8tPrIOobmpFJERe1-4bg
15,"从26亿《封神》到1亿《异人》，选角能定漫改影视生死？",https://mp.weixin.qq.com/s/46cVEXuyd6rG-LrBZWeTAw
16,"热辣七月，拼搏不止｜小娱月报",https://mp.weixin.qq.com/s/NbKfEvTHewqgHrfkYNJL9A
17,"24个品牌追投《歌手2024》，谁值回了入场费？",https://mp.weixin.qq.com/s/giTjwSUpPS5Fgvsu3F8__g
18,"这届巴黎奥运会，网红成了“另类电视解说员”",https://mp.weixin.qq.com/s/oZy375BFKmRHUKXkQdwU0Q
19,"从“火了”到“熄火”只需两年，高概念剧怎么了？",https://mp.weixin.qq.com/s/HKNAE08Cx83eL9rW8TkQuQ
20,"胖东来“河南爆改湖南”背后，是打造“中国山姆”的野望",https://mp.weixin.qq.com/s/FW8ycyK8yuspAUOEREhRSA
21,"体育饭圈化，品牌边利用边嫌弃？",https://mp.weixin.qq.com/s/9bzihlaElObYr4XzuRwrZQ
22,"影视剪辑师被AI替代风险大增，但“没有办法阻止”",https://mp.weixin.qq.com/s/mDqKV8IcGPcaIcFF--PH3Q
23,"《唐诡西行》大爆，爱奇艺暑期档霸屏",https://mp.weixin.qq.com/s/IZwiIOBORLdsju_LuxqQEA
24,"500万人围观，第一款V圈游戏整了个大活",https://mp.weixin.qq.com/s/pGqABiSvWOkmtoltmkzZvQ
25,"坐上行业头把交椅后，珀莱雅下一步怎么走？｜对话侯军呈",https://mp.weixin.qq.com/s/meDGYy9ETjy7w6qh6rTS7Q
26,"蒙牛官赞VS伊利“抢人”，乳业双雄的奥运营销战谁赢了？",https://mp.weixin.qq.com/s/tXFu0iF7QeT8GZ5KmiszgQ
27,"恋爱吸粉，失恋掉粉，合体价飙3倍，恋综网红不敢分手",https://mp.weixin.qq.com/s/w3SvmB2SzBx_UiTuuPpiMQ
28,"“给的排片费竟然花不掉“丨暑期档影院调查",https://mp.weixin.qq.com/s/8dn_Hm3Wa-MyYo4knX_mfA
29,"允许一部分传统影视人，靠短剧端原生富起来？",https://mp.weixin.qq.com/s/RB8iP7Fqow8Mn7ErRQJOGw
30,"频频引爆全网，快手如何成为奥运“热点发源地”？",https://mp.weixin.qq.com/s/58wq5vx4h9qoywqsZC7iAQ
31,"越赞助越跌？“奥运经济”不行了",https://mp.weixin.qq.com/s/IGCK3hmaQhqcqznH25yN-A
32,"融资1亿，估值10亿：秘塔AI搜索装满弹药",https://mp.weixin.qq.com/s/YT_S70vSBAvXT6zOCJSpoA
33,"AI浪潮中的影视教育:在北师大遇见“新式课堂”",https://mp.weixin.qq.com/s/YseCCFJOvNu1EagcFGZlgw
34,"密集发布新规，视频号电商进入暴走模式？",https://mp.weixin.qq.com/s/7UTeM8xmIWUKUyUG2Qi1Xw
35,"流水破2000万，七夕大战《深空》仍是最大赢家",https://mp.weixin.qq.com/s/1hWvoIZV2UZOdaaf-sD_Aw
36,"“一顿小火锅，我吃了这辈子所有的合成肉”",https://mp.weixin.qq.com/s/8u3Mln0KepjUQZdYuGpRzw
37,"《代号鸢》：一部被误解的乱世女性成长诗",https://mp.weixin.qq.com/s/p4ksVtQuTIgb1I-LMdIlhA
38,"评分82！《黑神话：悟空》八十一难还差最后一关",https://mp.weixin.qq.com/s/CV-37Lq8umN9FG3v5n4ZsA
39,"海外流媒追捧的体育纪录片，如何在国内落地？",https://mp.weixin.qq.com/s/dKfT4T5SihcrWYhxcSsdyA
40,"避开热门档，百万即胜利，院线纪录片的危与机",https://mp.weixin.qq.com/s/v0MM8d1kvLiUXNsU4liMTA
41,"瑞幸教科书式签约代言人，但这次新品翻车了？",https://mp.weixin.qq.com/s/rZmYQO7II0erpOWa9d4Xhg
42,"在上海市中心建一个“拼多多式”夜店大楼 | 对话应书岭",https://mp.weixin.qq.com/s/9a0QkrqdLtgLATe61njcUg
43,"揭秘Onlyfans、网易游戏背后：谁被AI取代了？",https://mp.weixin.qq.com/s/Iitl0G3E5jE0P2Zkr9PyZg
44,"“2个电话融资百万，海外短剧正当时”｜专访海外短剧基金创始人",https://mp.weixin.qq.com/s/2kpOTfzwzNf6MGj3iaNFTA
45,"“内容制作比电影嗨，28天在苏州连拍4部，我们全力押注海外短剧”｜专访",https://mp.weixin.qq.com/s/PSfw-CKIF3-SITxJZ81tmg
46,"黑神话流量盛宴：28家媒体直播，为打猿神卸载原神",https://mp.weixin.qq.com/s/0zbXhylhhPEJ_y1C21W5TQ
47,"网易云音乐“崩溃”背后，降本增效埋下的雷？",https://mp.weixin.qq.com/s/ZOF1FC-jbG2VwT-n255WVg
48,"国内不赚钱的短剧人们，能赚到海外短剧的10亿美金吗？｜调查",https://mp.weixin.qq.com/s/Y9KgkNGK3c33j-LT_iECiA
49,"科幻喜剧扎堆，国内首部太空实拍电影 | 7月上电影备案",https://mp.weixin.qq.com/s/Yf9ITJGE4tyc5aPXufiPrA
50,"携程押宝成功，伊利、绝味鸭脖玩梗，MINI COOPER、小红书火爆出圈 | 代言人月度辣评",https://mp.weixin.qq.com/s/xY2zV-bgenrgLW9TngaNFA
51,"谁谋杀了我们的游戏？｜《黑神话：悟空》制作人17年前旧文",https://mp.weixin.qq.com/s/hcDCew_yMDZVrDh-2J-SRw
52,"《黑神话》大爆，谁在股市薅猴毛？",https://mp.weixin.qq.com/s/mCWi8dPiHzgGKoZKVxnJ0A
53,"“韩国会是下一个短剧大票仓”｜专访韩国短剧制片人",https://mp.weixin.qq.com/s/XLZGM2__EAnyB2zZixD1nQ
54,"“把抖音当天猫，把小红书当央视”，水獭吨吨为什么| 品牌深壹度",https://mp.weixin.qq.com/s/w1o-M6qcmfZPXIsDyTLMKw
55,"《全力以赴的行动派3》，一次抖音综N代的自我更迭",https://mp.weixin.qq.com/s/KFkM6L0BQBAtf32RNfOLzg
56,"防着中国人，用着中国货：华人AI创业路在何方？",https://mp.weixin.qq.com/s/Im7NFSwgvyFLQ1sSEHcanA
57,"与操盘手深聊4小时，我们找到2024下半年经营抖音电商的6条方法",https://mp.weixin.qq.com/s/gp8UwJ5hjcVpju1z7s_gPw
58,"“黑神话X 瑞幸”卖断货，二次元为何占据IP联名半壁江山？",https://mp.weixin.qq.com/s/oQ71Ajmi7BImHiQ-lKWAwA
59,"除了一夜170万打赏，《黑神话》背后哪个互联网平台赚最多？",https://mp.weixin.qq.com/s/aD9nFrc8vMiLnJzz0t3nfQ
60,"嘉年华落幕后，我们发现了原神的未来",https://mp.weixin.qq.com/s/WiymoGAykGxZmjnKe9z-kQ
61,"《异形》预测2亿飙至8亿，“科幻”如何挽救恐怖片市场",https://mp.weixin.qq.com/s/BTvjwddwJf-3SQMfGNHx3g
62,"为了让你在车里玩《黑神话》，汽车厂商们有些拼了",https://mp.weixin.qq.com/s/vrSqhycLpCAedK1SkY0c1A
63,"停播一年后，笑果艺人们都“分”给了谁",https://mp.weixin.qq.com/s/iIuYUppd-9JsXlxuTu8vLA
64,"腾讯的抉择：条条大路通“西天”，何必死磕二次元？",https://mp.weixin.qq.com/s/JrVFbnj4Tga1B9tY9ddKIA
65,"黑猴崛起，国产3A成文娱人新阵地",https://mp.weixin.qq.com/s/ScpJeEUPBDIw8C2qjlN4jA
66,"影视行业新周期，柠萌如何度过“逆风局”？",https://mp.weixin.qq.com/s/mUvlBE136_flYIPrEN5T4A
67,"《黑神话》迎首波退款，游戏代退费竟成行骗产业",https://mp.weixin.qq.com/s/VL8iI1MgAXrRHJk3qvzDhQ
68,"爱腾优芒上半年财报，释放了什么信号？",https://mp.weixin.qq.com/s/crcWOA0X_7iHfhFy7D-ulw
69,"《战至巅峰》改写“竞综”方法论，“文化”才是核心",https://mp.weixin.qq.com/s/r3Fu6_tj-v7UlJ_SNxrblA
70,"《超新星运动会5》：用“社交”的方式打开一场运动会",https://mp.weixin.qq.com/s/aKOo7kpjbe2yNH54VwnGHw
71,"稀缺援外题材引发情感共振，《幸福草》提供行业新案例",https://mp.weixin.qq.com/s/HiYPESLJwmog9oQW0cjGVw
72,"爱奇艺博纳聚焦悬疑，儒意阿里押宝爱情 | 7月下电影备案",https://mp.weixin.qq.com/s/8ehtZ_IG4ieN-4luud4MNg
73,"演员不齐、版权分散、狗尾续貂？国产剧困于系列化",https://mp.weixin.qq.com/s/Ymu8TmaHgJenPz6Fs8j5kA
74,"许宏宇、算、申奥、周木楠，为什么新锐创作者都在优酷？",https://mp.weixin.qq.com/s/QPhMiQzUtDR2GwPHCaDqrw
75,"聚合头部、联手慈文，画工影业“造新血”",https://mp.weixin.qq.com/s/mM8kJsruSP8KhkSQqFEXAA
76,"上市公司做短剧：起大早赶晚集，谁吆喝谁在赚？",https://mp.weixin.qq.com/s/EnGT4O-cK7txVM4l_WZhEg
77,"“靳东的风”吹向视频号直播带货，姐姐们能否捧出“下一个贾乃亮”？",https://mp.weixin.qq.com/s/OB3RotsynB0kk6kmLbEjjA
78,"因为这个「顶流」，我们的游戏暑期档策划全部作废！",https://mp.weixin.qq.com/s/DSD6-2iEpp9OWNIrguEaKA
79,"《孤舟》之后，下一片蓝海是“长河剧”| 专访幸福蓝海孟庆丰",https://mp.weixin.qq.com/s/tAaJLuTDkPr9zb_GKvZ7NA
80,"8月互联网专利盘点：百度阿里优化自动驾驶，咪咕移动提升视频观看体验",https://mp.weixin.qq.com/s/CQhi0KBkz08c5OcpScrzCA
