文章标题,URL
小米新车售价81万，10分钟小定3680台，凭什么？,https://mp.weixin.qq.com/s/j5DWeDwDcZw7vbm895yRvw
双11过半，谁最吸金？,https://mp.weixin.qq.com/s/JkZgsTrTqn1YlZIFaLzZzA
草莓熊后力捧史迪奇，尼克朱迪正当红|2025迪士尼IP授权观察,https://mp.weixin.qq.com/s/3j2b9lJ7_yS_hrvlBvbCgg
入坑四个月花三万，Labubu狠狠拿捏年轻人,https://mp.weixin.qq.com/s/9xKeAG3kM3C2UDtIP-09ag
Songmont双十一热卖背后，国货包袋的崛起与隐忧,https://mp.weixin.qq.com/s/zh_eUdLiHqMRU9AdQIdwug
“我在古着直播间掘金，几百块买一件奢牌”,https://mp.weixin.qq.com/s/b8ryvxKuNUFsy4eAZh91wQ
零跑月销3.8万，“不营销、只低价”的拼多多策略能走多久？,https://mp.weixin.qq.com/s/4NOaSIPZfvDKCdiar7Rg0A
Puma 起诉Shein，骆驼双11卖爆，亚玛芬扭亏成功|运动服饰圈一周大事件,https://mp.weixin.qq.com/s/9bFmU4Xxc18Bpq1MkqJDLw
茶颜悦色卖腊肉，幸运咖签王俊凯，茉莉奶白获亿元投资｜茶饮食品圈一周大事件,https://mp.weixin.qq.com/s/bdWJnuBCkH0InOPAmezbJQ
喊付航“赚副业”，闲鱼在过一种很新的双十一,https://mp.weixin.qq.com/s/vkk-h3kVYRJkPy_bOo2W1A
牵手时尚女王杨幂，高梵如何在高端鹅绒服行列突围？,https://mp.weixin.qq.com/s/3PPZ3ZT6eYuJ1QOGdM5IDw
冲锋衣2024：Montbell走红，可隆迪桑特飞升，骆驼伯希和大卖,https://mp.weixin.qq.com/s/hoYRl_hEMtcjgVSg6OP2uA
X200 折戟“炫光门”，vivo没有新故事,https://mp.weixin.qq.com/s/T6lTIOaWz5fOAJuEmybs0w
双11苹果稳居第一，华为纯血鸿蒙正式发布，集成灶企业持续大跌|3C家电圈一周大事件,https://mp.weixin.qq.com/s/2gjSjzTgR7mL_zIVUx7PWw
珀莱雅超韩束抖音登顶，双11新品爆发|美妆圈一周大事件,https://mp.weixin.qq.com/s/82Ypu9R5BeXj6Exlr1l8lA
合作王俊凯的幸运咖，真的能“升咖”吗？,https://mp.weixin.qq.com/s/-3MMwcTXjJ__0liw_NYrjg
一条视频带货过亿，销量拳打李佳琦、脚踢罗永浩,https://mp.weixin.qq.com/s/qaqAXMQonzVC9VSzi7en1Q
双11当天支付宝服务异常，字节跳动营收逼近Meta ｜互联网行业一周热点汇总,https://mp.weixin.qq.com/s/rZ8SZtedyv4OdMXyk_SZpQ
杰尼亚大中华区营收占比跌至26%；抖音直播间助加拿大鹅销售额增5.7%｜运动服饰行业一周大事件,https://mp.weixin.qq.com/s/2EhVU6AJx9wJj_ctKbWT4g
三只松鼠冲击200亿：“松鼠老爹”给他的“大圣”送了一根金箍棒,https://mp.weixin.qq.com/s/xs4ssmpBEHWd6BsjVL_zDA
蜂花陷辱女争议，花王旗下高端品牌关闭天猫旗舰店｜美妆行业一周热点汇总,https://mp.weixin.qq.com/s/zzxZb9gSVGp81O7ICsqLqQ
吉利给“撞车女网红”送车，反倒成了罪过？,https://mp.weixin.qq.com/s/grXOB1WK3SGthwpwzCw20w
把开心麻花开进THE BOX，商场如何捕获年轻人？｜对话盈展、开心麻花,https://mp.weixin.qq.com/s/cDaAm9T9py6K6wwM7i2UgQ
从新品牌到成熟品牌，设计师集合品牌Fabrique在天猫的跃升之路,https://mp.weixin.qq.com/s/wjuLP5cL6jrRxoPaQxEt5A
藏在小兴趣里的新生意：这些商家在抖音双11出圈,https://mp.weixin.qq.com/s/ZvKV8-nBIMspPGfHDUCpvQ
森马出圈OPPO扑空，都是合作徐志胜，怎样才算有“笑”果?,https://mp.weixin.qq.com/s/gxyrALagQczCD_IwKQ7P2w
欧莱雅2亿收购个护品牌Ushuaïa，丝塔芙官宣陈都灵｜美妆圈一周大事件,https://mp.weixin.qq.com/s/KU_cKPr9KN7_ObjTNVwE6g
对话挪瓦CEO：“饿了么”出身的团队，能不能做好一个咖啡品牌?｜品牌深壹度,https://mp.weixin.qq.com/s/bmwFmfu3GR58pJCirSgMOw
独家｜ 从卫浴场景出发，1688开始大规模贴牌,https://mp.weixin.qq.com/s/E0mAiATno_N8T9zokuCosg
七鲜开打价格战，前置仓又行了？,https://mp.weixin.qq.com/s/mzJ8GUMuAoHqLSglOVlEkA
茶里被曝拖欠工资；茉莉奶白联名《永夜星河》｜茶饮食品行业热点汇总,https://mp.weixin.qq.com/s/PLglEqF8UrMJCxSS0iERIw
生活越混账，李子柒就越白月光,https://mp.weixin.qq.com/s/6VEAbZjIQzXUg4I1-bb9og
荣耀 Magic7 为新品手机销量冠军，松下集团承认造假丑闻｜3C家电圈一周大事件,https://mp.weixin.qq.com/s/ChkfmeQMmUCSwjdXHG7dKw
小米SU7实现230天下线第十万台汽车；郑钦文成为奥迪audi代言人｜汽车圈一周大事件,https://mp.weixin.qq.com/s/l-Q4r51Nv9BgsKaFVpd11g
叮咚买菜出海中东，B站首次实现单季度盈利｜互联网圈一周大事件,https://mp.weixin.qq.com/s/NAi9TFSl3jQ1Ho0BciZ-KQ
广州车展，面子是雷军余承东，里子是一汽广汽上汽东风,https://mp.weixin.qq.com/s/PNqNmFI3kHLsYOYr6tXO1w
小米 SU7 自动泊车功能故障引争议；蔚来将推出10万元级别汽车｜汽车圈一周大事件,https://mp.weixin.qq.com/s/vTFytZS_5H5FdohpDAWArQ
京东把零食折扣店开到了线上，“满199减100”靠谱吗？,https://mp.weixin.qq.com/s/UdOJccscLjnFpbsAwLjGkw
良品铺子澄清原材料，蜜雪冰城进军AI，小红书开咖啡馆｜茶饮食品圈一周大事件,https://mp.weixin.qq.com/s/2NS8BnnFX8VarFjgbjX2dg
小米三季度营收增长30.5%，华为Mate70开启预订｜3C家电圈一周大事件,https://mp.weixin.qq.com/s/DDy6asX5KM7fk283kIEB7Q
定语过多的双十一战报，难掩荣耀颓势,https://mp.weixin.qq.com/s/oaWpxqRVEdnB3IgKpBWKPA
美力城官宣赵露思，lululemon合作迪士尼，蕉下滑雪服遭质疑｜运动服饰圈一周大事件,https://mp.weixin.qq.com/s/eVSNAgcyV9umogyXvVzg2Q
蒋凡回归任阿里电商CEO；微信测试14天后自动清理原图｜互联网圈一周大事件,https://mp.weixin.qq.com/s/O-NRuZ03tIFh9OAXekTCng
从扫地机闯入洗衣机赛道，石头科技如何与巨头掰手腕？,https://mp.weixin.qq.com/s/ik69vj76WgCm60W-zK8HRg
电动豪华是所有中国车企该补的课,https://mp.weixin.qq.com/s/QzWiVF_vN2FgydkMXYfbzw
星巴克中国要卖身，只为正面刚瑞幸？,https://mp.weixin.qq.com/s/oatclmd57k4ihZFr2SI3IQ
羽绒服造假背后：花300万雇法人，2元买检验证，江浙白牌多假货,https://mp.weixin.qq.com/s/YRG9vFUqLozEdyojQqzYcA
AirPods销量再登顶，Switch国行宣布将关停网络服务，海尔签约澳网｜3C家电圈一周大事件,https://mp.weixin.qq.com/s/ZC3nvK73SPx7D92xCR4yVA
华为Mate 70继续兼容安卓，纯血鸿蒙为何没有驶入深水区？,https://mp.weixin.qq.com/s/i6XKADHQDDt5v1E5u9homQ
品牌“硬刚”打假博主，良品铺子为何比百雀羚更难？,https://mp.weixin.qq.com/s/-Q_v9DMbAW5vJYT3bAW1Iw
一个季度赚回三年亏损，OTA盈利破了记录,https://mp.weixin.qq.com/s/1-3tArO2Jxif6IB65zdIXg
钟睒睒于东来发声引争议，旺仔牛奶陷异物风波，库迪韩国门店闭店｜茶饮食品圈一周大事件,https://mp.weixin.qq.com/s/CrY5Lv0plKr8auHUCvHeZQ
拼多多出海增速变慢，Temu将如何应对？,https://mp.weixin.qq.com/s/Vya-v23_m-dyH0QER-9KBA
H&M宣布关闭Monki门店，阿迪达斯商标侵权指控被驳，海澜之家进军马尔代夫｜运动服饰圈一周大事件,https://mp.weixin.qq.com/s/cD3KKwcdBVpfRLYZBg_K1A
百雀羚澄清原料质疑，上美高管跳槽珀莱雅，毛戈平通过上市聆讯｜美妆圈一周大事件,https://mp.weixin.qq.com/s/huBrazRMvT9_i9CyFhpovA
部分车友反馈：哪吒现在提不了车了！,https://mp.weixin.qq.com/s/FMFXUv_Ysd0OcdJVEwBn2g
广汽“烨P”引争议，蔚来通报不实谣言，华为正式发布尊界S800｜汽车圈一周大事件,https://mp.weixin.qq.com/s/e5SZ0z1uWIDZZPhhWq9sZA
可口可乐用中国AI做圣诞节广告，可灵到底哪里强？,https://mp.weixin.qq.com/s/TBLj5MoYemtDnkAqCGjQ5Q
优衣库不用新疆棉引争议；波司登营收同比增长17.8% ；斐乐官宣易烊千玺全球代言人｜运动服饰圈一周大事件,https://mp.weixin.qq.com/s/LmBLclh39al_92_F-QERNw
9大宠物品牌双十一破亿，为什么说“它经济”市场尚有缺口？,https://mp.weixin.qq.com/s/C39XFKLlC9k_IR3613Hb9g
2024海外艺人扎堆来华：日音崛起、泰音紧跟，下一个是Taylor Swift？,https://mp.weixin.qq.com/s/cP5fxnbzXoCxi0WF5gZzPA
网信办开展算法问题清朗，知乎第三季度营收同比下滑 17.3%｜互联网圈一周大事件,https://mp.weixin.qq.com/s/oWOSbRi_r4j5pTp9CEQ1yA
门店从3家开到50家，淡季变旺季，小生意如何在抖音爆发？,https://mp.weixin.qq.com/s/Mx9TcHKa1I9vHWiCSHchIw
有声量没销量，“谢添地”赞助《声生不息》值回入场费了吗？,https://mp.weixin.qq.com/s/A4J0cel7lefHtQTBZwgkPA
茶百道马来西亚首店开业，脑白金咖啡实验室成立，瑞幸联名原神爆单｜茶饮食品圈一周大事件,https://mp.weixin.qq.com/s/IbxBSCAZcBjSBpkw0ukYnA
国货护肤品光季宣布闭店；彼得罗夫或将重返中国，AOEO创始人控诉殷世航｜美妆圈一周大事件,https://mp.weixin.qq.com/s/JBcIkgr7Bb3lVH4jN4M-CA
毛戈平在港交所上市；韩束官宣品牌新代言人丁禹兮；花洛莉亚发布擦边广告被罚｜美妆圈一周大事件,https://mp.weixin.qq.com/s/8lrjcA-8-eqXaiezfweS3Q
从慢热到火爆的木作文玩：回归内容，成就生意,https://mp.weixin.qq.com/s/D6vtL7j-UMm1MNQAyr_qPw
携手孩之宝集结“塞伯坦星人”，京东超市潮玩节如何玩转“大孩子的快乐”？,https://mp.weixin.qq.com/s/wYWlxlAqAphhW9VQ4DcGiw
蔚来胜诉奥迪商标纠纷案；萝卜快跑获入港资格；极氪009事故后起火｜汽车圈一周大事件,https://mp.weixin.qq.com/s/kaBWuK_lLai8Xa6GW8_6pg
